,,,,,,DATAX,,,,,,,,DATAY,,,,,,,,DATAZ,,,,,,,,DELTAX,,,,,,,,DELTAY,,,,,,,,DELTAZ,,,,,,,,AREAXY,,,,,,,,AREAXYZ,,,
MeshID,#Tris,#Vertices,MIN,MEDIAN,MEAN,MAX,VAR,STD,KUR,SKW,MIN,MEDIAN,MEAN,MAX,VAR,STD,KUR,SKW,MIN,MEDIAN,MEAN,MAX,VAR,STD,KUR,SKW,MIN,MEDIAN,MEAN,MAX,VAR,STD,KUR,SKW,MIN,MEDIAN,MEAN,MAX,VAR,STD,KUR,SKW,MIN,MEDIAN,MEAN,MAX,VAR,STD,KUR,SKW,MIN,MEDIAN,MEAN,MAX,VAR,STD,KUR,SKW,MIN,MEDIAN,MEAN,MAX,VAR,STD,KUR,SKW
10,21047,10648,-0.698302090167999,-0.282133912637483,-0.125263946524144,1.16876327991486,0.199437352344842,0.446584093251027,-0.569326643220574,0.741392958315794,-0.854408860206604,-0.145678999866158,-0.158420964240443,0.632290840148926,0.0903344485884189,0.300556897422799,-0.588261263395087,-0.190747465360457,0.888433277606964,1.94444839656353,2.1173703320799,4.86225891113281,0.709312791976175,0.842207095657698,0.882560555714958,1.13211787096567,-1.7218896150589,0.00102495791215473,0.000135902654064965,1.65938078332692,0.0987960928162629,0.314318457644891,5.15703558269517,-0.0807357822635259,-1.3328436975428,-0.00578022234200866,1.82372479808427E-05,1.27473957575779,0.0724757679092683,0.269213238733292,4.35991241027046,-0.198469026233671,-3.4862949848175,-0.101037830114365,0.000193120706156407,3.53874325752258,0.333973462168253,0.577904371127484,6.06093842248818,0.0150047621049545,4.31065858614315E-09,4.04025783715306E-05,0.000114679097079717,0.00775985539229747,6.75002439140621E-08,0.000259808090547739,117.506363539611,8.42399679915495,4.75072754486004E-08,0.000353999041707053,0.00116361117965885,0.0329885439564429,5.35888452457995E-06,0.00231492646202422,36.8792612339967,4.99034040841491
11,21980,11166,-0.682766318321228,-0.212798974748666,-0.0335575022110954,1.26413106918335,0.244756596293862,0.494728810858901,-0.575172098141876,0.776954012286698,-0.920604705810547,-0.124572521288938,-0.178297913867787,0.401195108890533,0.0874861500125447,0.29578057747686,-0.643926520228684,-0.46835276032211,0.880231201648712,1.86118043214083,2.11298345696614,4.87854480743408,0.84183466955911,0.917515487367439,0.589131959380366,1.07550565070688,-1.92595633160159,0.00697771728032398,0.000138637171245176,1.87407775158037,0.132381725772771,0.363842996047432,4.83204773786524,-0.115042679335278,-1.18169048515039,0.00997845949452035,1.48469053554792E-05,1.16419446487307,0.0715232111476435,0.267438238005794,4.44866613146388,-0.126054691555085,-3.29157827049494,0.297825202345848,0.000275492774922378,3.41544174402952,0.443292568293213,0.66580219907508,4.60132270920114,-0.0917629794443774,1.84783901605096E-09,3.71813164083116E-05,0.000102756300457614,0.00491260496059059,4.51060567951036E-08,0.00021238186550434,78.9847621091727,6.93780650069085,2.55606672165321E-08,0.00032232867019073,0.00104671224538076,0.0401811418216486,4.03748011966052E-06,0.00200934818278479,36.9979631952495,4.80652007739763
12,21483,10869,-0.854227721691132,-0.189144313335419,-0.0707008043032431,1.11017787456512,0.247121557949977,0.497113224477057,-1.03351373700012,0.43922232860032,-1.02868723869324,-0.181024388539422,-0.211471053669608,0.558271586894989,0.103265257873635,0.321349121476371,-0.367486248767664,-0.332641626619348,0.799392580986023,1.76498889923096,2.17272815212659,4.83739376068115,0.862964995380724,0.92895909241512,0.3939577379057,1.13788187838583,-1.7946579467825,0.691151812620486,1.47534632005734E-05,1.78070957907226,0.143558762785467,0.378891492099608,4.3286233143389,-0.137235819643686,-1.48964868203437,-0.332828561751294,-3.75509534397946E-05,1.56127166348954,0.0814578226287034,0.28540816846878,5.02192018502986,-0.0146458366943623,-3.3003394816603,1.8136891014874,0.000104181608339421,3.63661269843578,0.468830313361945,0.684711846956035,5.1024924194908,0.017927201760877,4.20846950490772E-09,5.64383043223655E-05,0.000118736756769517,0.007296349441079,4.27653255578247E-08,0.000206797789054489,115.472294465863,7.05031873001673,4.66326727049198E-08,0.000198699056393652,0.00103914838723383,0.0363544494149426,4.65613605010789E-06,0.0021578081587824,28.2804013714771,4.41079561640176
13,22879,11634,-0.807583272457123,-0.215739496052265,-0.132785297612457,0.86334753036499,0.23112012695753,0.480749547017498,-1.14032439531562,0.386320444413388,-0.995578229427338,-0.197718151665025,-0.217989487549492,0.482691287994385,0.09275609191068,0.304558848025599,-0.454826906326555,-0.388360591988411,0.857486248016357,1.68224042654037,2.07966412078126,4.78071069717407,0.810167447719868,0.900093021703795,0.929200670390526,1.38667617187404,-1.63699280696661,0.467692654403678,4.5977796346726E-05,1.63433424603296,0.128194269158013,0.35804227286455,5.46724014073951,-0.229861098869742,-1.26462787223876,-0.348007314375277,-2.44370438872635E-05,1.32010634173639,0.0730139987930347,0.270211026409054,4.57111241950215,-0.10187624578655,-3.34102802574635,0.339294970035553,7.621198982259E-05,3.47798612713814,0.468921387865537,0.68477834944275,7.05127824082022,-0.0940760247931467,1.15857115415521E-10,4.42163086821313E-05,9.10887067231268E-05,0.00237242137955828,2.22632441160541E-08,0.000149208726675266,46.3857032532227,5.41646108404185,1.31558304788725E-09,9.49770188669656E-05,0.000991062948551306,0.038675313160827,5.86208075188525E-06,0.00242117342457851,36.4320715473648,4.98312353165761
14,24559,12491,-0.705828785896301,-0.20526485145092,-0.0863414812813663,0.751759052276611,0.222186015551222,0.471366116252773,-1.47852332331338,0.232262969040388,-1.00145924091339,-0.144052049134605,-0.186991807102836,0.40489536523819,0.0798120313509694,0.282510232294282,-0.301214277981711,-0.574930069529403,0.915908515453339,1.53329077363014,1.97266913281132,4.87649202346802,0.83771206749867,0.915266118404189,0.52385022560832,1.22021783136585,-1.45655079931021,0.21205568214785,6.50999241945771E-05,1.44758755249503,0.120360908246286,0.346930696604216,4.97422956596246,-0.236800602641166,-1.27300204431916,0.0134785682993765,-5.17490884567342E-06,1.2608570751261,0.0579498425177333,0.240727735248212,5.92153279669225,-0.0869995097739428,-3.54058289080858,0.164100103080273,0.000130675391877909,3.55632535219192,0.468938371521759,0.684790750172459,5.13608354626041,-0.0654880297097986,6.480491690382E-10,3.2767810060606E-05,7.08108687287085E-05,0.00298462203873722,1.8135861236117E-08,0.000134669451755463,82.6042529598439,7.16548406767353,6.40990456039853E-09,8.04423750553659E-05,0.000975925133315724,0.02859729380597,4.87498729733369E-06,0.00220793733999262,22.9487451865946,4.15527042829002
15,23867,12146,-0.656105220317841,-0.17590499694189,-0.0414518082749186,0.808009684085846,0.222343386291328,0.471533017180481,-1.51524912316309,0.227899499780224,-1.13070404529572,-0.144400740148789,-0.185492578477342,0.359537541866302,0.0832014121699238,0.2884465499359,0.486612173638938,-0.872009000718347,0.798510909080505,1.41904854774475,1.88164334852168,4.62659740447998,0.881342652461919,0.938798515370534,0.78932665032428,1.31974909931712,-1.44519897224382,0.0975362421706448,3.37928859748482E-05,1.44589468208142,0.107875634276411,0.328444263576654,5.62864049697199,-0.151257782228904,-1.36634409919182,0.023984419813302,-2.15099396870644E-05,1.35253120451926,0.062805545147176,0.250610345251699,7.16131826416112,-0.0898964837316955,-3.40170768797398,-0.105634465813637,8.02606454647431E-05,3.56957888752222,0.404510288289603,0.636011232832883,8.06112493698893,-0.0731601305373011,9.73223673635304E-10,3.22918112593908E-05,7.61420131289277E-05,0.00425588709160329,2.52904247728826E-08,0.000159029634888855,115.150042825938,8.26461234662496,1.58109667297795E-08,7.1997422002278E-05,0.00094679177768534,0.0263583803697845,4.7935459984729E-06,0.00218941681697956,23.1680696177941,4.17555472925709
16,23111,11745,-0.603602707386017,-0.0331712886691093,0.0138990834241721,0.701658189296722,0.184878480225251,0.429974976277982,-1.55403084481988,0.0146591090117301,-1.11884903907776,-0.133819860555217,-0.185225695730388,0.350978523492813,0.0776893839770346,0.278728154259728,0.763627428952716,-0.957783322240422,0.665406823158264,1.41326010227203,1.88433664592689,4.83592653274536,0.952970041545447,0.97620184467427,0.0734762869683848,1.02815509757509,-1.28510348371879,-0.0154014395628041,6.22366092110166E-05,1.2992089619514,0.0819930910109673,0.286344357393275,5.72765484190106,-0.296559826480076,-1.42198453989586,0.126974578384045,-1.73956439258075E-05,1.43023800337687,0.0562066282064663,0.237079371111167,8.38023376880794,-0.17903716125213,-3.55019552260637,-0.434686213731766,0.000170598897768301,3.58367098761456,0.483565810663435,0.695388963576095,6.81515842102166,-0.0196201660345941,2.40356612299049E-08,2.98737622329204E-05,7.14742185892516E-05,0.00521281173402537,2.26255345893168E-08,0.000150417866589434,147.803111907196,8.5233905778254,7.88682299592406E-08,0.000115175978815702,0.00113308255364204,0.0419120785376228,5.59524209676214E-06,0.00236542640907768,26.3443762408225,4.2001849555571
17,24972,12741,-0.552962183952332,-0.0722387014378944,-0.0223231605410708,0.597544252872467,0.146971013450734,0.383367986992568,-1.58724465468489,0.0784263985510099,-1.04561352729797,-0.129647180438042,-0.188463950225199,0.36550110578537,0.0833794288235325,0.288754963288136,0.895139024324914,-1.06256851897102,0.5599005818367,1.44488400220871,1.80004621878043,4.35993814468384,0.948434618091115,0.973876079432653,0.251330329458545,1.08824311733171,-1.14774934084066,0.0269337408391692,4.55901682687937E-05,1.14664003062366,0.0766269710309474,0.27681577092165,4.75706820502992,-0.151464084287769,-1.36017637822591,-0.102601642432534,-8.9329211850858E-06,1.34855543393439,0.068925434451808,0.262536539269885,7.59134101475646,0.00190534463787406,-3.54458236445983,-0.197414826601744,0.000139757319466098,3.55725996089833,0.562323502800466,0.749882325968859,6.8755160253659,-0.163117272257799,7.57282014366253E-09,2.13376127036805E-05,5.83472682376543E-05,0.00396033804634446,2.26501100116313E-08,0.000150499534921645,140.86835572677,9.60885129252936,1.1405192817909E-08,0.000132529667533618,0.0011108080110213,0.0512068978130959,5.05994009409425E-06,0.00224943106008925,29.2486569967456,4.16083862120353
18,24624,12435,-0.724145472049713,0.101011400594704,-6.11874348103659E-05,0.599064528942108,0.134153512291975,0.366269726147241,-1.60938908310035,0.0228678736153378,-1.20098304748535,-0.124896014287432,-0.185617489805093,0.33624005317688,0.0740249433103249,0.272075253028137,1.77408756476921,-1.29703706182979,0.443528801202774,1.64654731750488,1.71438228867953,4.36038255691528,0.82429378233481,0.907906262967059,0.386084850822012,1.02485533069245,-1.13396683249422,-0.328322792562495,3.70151202490578E-05,1.10144452191889,0.0614642745095077,0.247919895348291,5.59607030365054,-0.166190472538411,-1.4483687877655,0.157604381582102,-1.35303842776566E-05,1.45459254372801,0.0496274241904551,0.222772135130171,11.6217754116939,-0.27712521066271,-3.27439205348492,-0.229365713894367,0.000166283722368299,2.82457557320595,0.253790127741253,0.503775870542896,7.02704804335853,-0.0121736268614128,7.46092433700745E-09,1.89078218974558E-05,6.77824637919529E-05,0.00601385640183193,3.41675217062397E-08,0.000184844587982012,187.79506417491,10.3500358114635,3.00165502419055E-08,0.000292672810524397,0.00110467838211512,0.0614937634184778,5.51705338098129E-06,0.00234884085901563,85.1896113674462,6.57667166632533
19,27204,13728,-0.524115264415741,0.201792073512632,0.0746155133195392,0.947515666484833,0.152131078075097,0.390039841650948,-1.48626020973324,0.031124612482615,-1.17520177364349,-0.117908972598617,-0.176694428014646,0.307200461626053,0.0715115962010709,0.267416521929874,1.94463949404361,-1.34508748146288,0.408608496189117,1.51438977037157,1.69240948010522,4.72634983062744,0.793947153891897,0.891037122622788,0.509696674755756,1.08654721024706,-1.37727557244111,0.00536495281776619,7.20791856149559E-05,1.44353656005114,0.0804859758298738,0.283700503753296,5.20168380493169,-0.201163872347,-1.39979987141302,0.00302068203743916,-4.13586525756785E-05,1.43968544049275,0.044523376486121,0.21100563140855,11.2092953018726,-0.216075053772418,-3.20486219227314,-0.200292780995369,0.000170453615856248,3.2152726650238,0.28615718605538,0.534936618727284,8.15874030638689,0.0711396895511301,3.16363630451816E-10,2.00771648635112E-05,6.56334840224269E-05,0.00717717271921441,3.62093114666362E-08,0.0001902874443221,205.054844761792,11.1434080855005,2.69335038481813E-09,0.000222364551071182,0.000957049273928246,0.0371869109834624,4.50224486619631E-06,0.00212184939762376,40.4020543600256,5.21577912436899
